key,val18,key,val19,Question
,,,,"At work, on average, what percentage of your time is devoted to:  (Total must equal 100%) - Other - Text"
,,,,At which level do you understand the mathematics behind the algorithms you use at work?
,,,,"At work, which barriers or challenges have you faced this past year? (Select all that apply) - Selected Choice"
,,,,"At work, which barriers or challenges have you faced this past year? (Select all that apply) - Other - Text"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Company politics / Lack of management/financial support for a data science team"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Data Science results not used by business decision makers"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Did not instrument data useful for scientific analysis and decision-making"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Difficulties in deployment/scoring"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Dirty data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Explaining data science to others"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - I prefer not to say"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Inability to integrate findings into organization's decision-making process"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of data science talent in the organization"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of funds to buy useful datasets from external sources"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Lack of significant domain expert input"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Limitations in the state of the art in machine learning"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Limitations of tools"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Maintaining responsible expectations about the potential impact of data science projects"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Need to coordinate with IT"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Organization is small and cannot afford a data science team"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Privacy issues"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Scaling data science solution up to full database"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Team using multiple ad-hoc development environments such as Python, R, Java, etc."
,,,,"At work, how often did you experience these barriers or challenges within the past year? - The lack of a clear question to be answering, or a clear direction to go in, with the available data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Unavailability of/difficult access to data"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Other"
,,,,"At work, how often did you experience these barriers or challenges within the past year? - Other - Text"
,,,,"At work, what proportion of your analytics projects incorporate data visualization?"
,,,,"At work, to what degree does your team use interval versus external resources for data science projects? (Select one option)"
,,,,"At work, where does the data scientist team sit within the organization? - Selected Choice"
,,,,"At work, where does the data scientist team sit within the organization? - Other - Text"
,,,,"At work, in addition to proprietary data, what third party and public datasets do you work with? (Please separate different answers with semicolons)"
,,,,What is your biggest challenge for working with your source data?
,,,,"At work, which of these data storage models do you typically use? (Select all that apply) - Selected Choice"
,,,,"At work, which of these data storage models do you typically use? (Select all that apply) - Other - Text"
,,,,"At work, which tools do you use to share source data? (Select all that apply) - Selected Choice"
,,,,"At work, which tools do you use to share source data? (Select all that apply) - Other - Text"
,,,,"At work, which tools do you use to share code? (Select all that apply) - Selected Choice"
,,,,"At work, which tools do you use to share code? (Select all that apply) - Other - Text"
,,,,How often do you work remotely?
,,,,"What is your current total yearly compensation (salary + bonus)? - Total Amount (e.g. 75,000) - Your Compensation: -"
,,,,What is your current total yearly compensation (salary + bonus)? - Choose your currency: - Your Compensation:
,,,,How has your salary/compensation changed in the past 3 years? - Selected Choice
,,,,How has your salary/compensation changed in the past 3 years? - Other - Text
,,,,"On a scale from 0 (Highly Dissatisfied) - 10 (Highly Satisfied), how satisfied are you with your current job?"
,,,,Which resource has been the best for finding data science job openings? (Select one option) - Selected Choice
,,,,Which resource has been the best for finding data science job openings? (Select one option) - Other - Text
,,,,How many hours per week have you typically spend looking for a data science job?
,,,,How are you assessing potential job opportunities? - Opportunities for professional development
,,,,How are you assessing potential job opportunities? - The compensation and benefits offered
,,,,How are you assessing potential job opportunities? - The office environment I'd be working in
,,,,"How are you assessing potential job opportunities? - The languages, frameworks, and other technologies I'd be working with"
,,,,How are you assessing potential job opportunities? - The amount of time I'd have to spend commuting
,,,,How are you assessing potential job opportunities? - How projects are managed at the company or organization
,,,,How are you assessing potential job opportunities? - The experience level called for in the job description
,,,,How are you assessing potential job opportunities? - The specific department or team I'd be working on
,,,,How are you assessing potential job opportunities? - The specific role or job title I'd be applying for
,,,,How are you assessing potential job opportunities? - The financial performance or funding status of the company or organization
,,,,How are you assessing potential job opportunities? - How widely used or impactful the product or service I'd be working on is
,,,,How are you assessing potential job opportunities? - The opportunity to work from home/remotely
,,,,How are you assessing potential job opportunities? - The industry that I'd be working in
,,,,How are you assessing potential job opportunities? - The reputations of the company's senior leaders
,,,,How are you assessing potential job opportunities? - The diversity of the company or organization
,,,,How are you assessing potential job opportunities? - Opportunity to publish my results
